fips,county,ruc_code,total_all_people,total_all_people_min,total_all_people_max,under18,under18_min,under18_max,type,state
28001,Adams,5,27.9,22.2,33.6,40.8,30.3,51.3,percent,Mississippi
28003,Alcorn,7,17.3,13.6,21.0,23.7,16.5,30.9,percent,Mississippi
28005,Amite,8,20.9,16.4,25.4,29.1,20.3,37.9,percent,Mississippi
28007,Attala,6,24.1,19.3,28.9,35.0,25.9,44.1,percent,Mississippi
28009,Benton,1,20.7,15.4,26.0,31.1,20.9,41.3,percent,Mississippi
28011,Bolivar,7,36.6,32.5,40.7,49.0,41.8,56.2,percent,Mississippi
28013,Calhoun,9,17.2,13.0,21.4,25.8,17.3,34.3,percent,Mississippi
28015,Carroll,9,17.2,13.4,21.0,23.5,16.6,30.4,percent,Mississippi
28017,Chickasaw,7,22.7,18.0,27.4,32.8,23.8,41.8,percent,Mississippi
28019,Choctaw,9,20.9,15.9,25.9,31.8,21.8,41.8,percent,Mississippi
28021,Claiborne,8,37.5,28.8,46.2,48.9,35.5,62.3,percent,Mississippi
28023,Clarke,9,23.2,18.8,27.6,33.2,24.3,42.1,percent,Mississippi
28025,Clay,7,29.7,25.3,34.1,34.7,24.1,45.3,percent,Mississippi
28027,Coahoma,7,38.2,32.6,43.8,49.1,37.9,60.3,percent,Mississippi
28029,Copiah,2,22.1,16.9,27.3,33.0,23.0,43.0,percent,Mississippi
28031,Covington,8,21.3,16.3,26.3,33.3,23.4,43.2,percent,Mississippi
28033,DeSoto,1,9.4,8.0,10.8,13.4,10.5,16.3,percent,Mississippi
28035,Forrest,3,23.3,19.6,27.0,28.9,20.9,36.9,percent,Mississippi
28037,Franklin,9,19.6,14.9,24.3,27.9,19.2,36.6,percent,Mississippi
28039,George,6,16.6,13.2,20.0,23.9,17.4,30.4,percent,Mississippi
28041,Greene,8,21.8,16.7,26.9,23.9,16.7,31.1,percent,Mississippi
28043,Grenada,7,20.3,15.7,24.9,28.3,19.4,37.2,percent,Mississippi
28045,Hancock,2,16.7,13.2,20.2,26.1,19.0,33.2,percent,Mississippi
