FIPS,county,state,prec_in_poverty_2019,2012_unemployment,2013_unemployment,2014_unemployment,2015_unemployment,2016_unemployment,2017_unemployment,2018_unemployment,2019_unemployment,2020_unemployment,Median Household Income (2019),2015-2019_completing_college,2015-2019_some_college,2015-2019_HS_only,2015-2019_not_HS
28001,Adams,Mississippi,27.9,9.7,9.3,8.4,8.1,8.4,7.5,6.5,7.2,11.0,34583.0,0.17443163983677898,0.27438231469440805,0.329805838303215,0.221380207165598
28003,Alcorn,Mississippi,17.3,8.5,7.7,6.7,5.7,5.3,4.5,4.3,4.8,6.2,43496.0,0.171250587682181,0.319973358407773,0.321971477824792,0.18680457608525303
28005,Amite,Mississippi,20.9,9.9,9.1,8.1,7.7,7.5,6.9,6.4,7.1,8.4,41575.0,0.125637048526479,0.300243740305783,0.392865056503435,0.18125415466430303
28007,Attala,Mississippi,24.1,9.6,9.3,8.8,7.7,6.8,6.2,5.8,6.4,8.3,36905.0,0.1391828097021,0.312469477454013,0.32443431548103496,0.22391339736285198
28009,Benton,Mississippi,20.7,10.4,10.4,9.5,8.1,6.9,5.7,5.8,6.3,8.3,37875.0,0.11540488318988198,0.27665554189355396,0.333743193395398,0.274196381521166
28011,Bolivar,Mississippi,36.6,10.4,10.6,9.7,8.0,7.4,6.6,6.3,7.2,8.7,30309.0,0.23605587350858498,0.293723930546125,0.24866621398777802,0.22155398195751297
28013,Calhoun,Mississippi,17.2,8.2,8.4,7.5,6.3,5.5,4.8,4.8,5.7,8.1,38648.0,0.11787958645854499,0.284613825258463,0.37289681735252395,0.22460977093046802
28015,Carroll,Mississippi,17.2,10.8,10.5,9.6,8.3,7.4,6.0,5.8,6.3,7.7,44885.0,0.122499314880789,0.32502055357632204,0.354343655796109,0.19813647574678
28017,Chickasaw,Mississippi,22.7,10.0,10.6,9.8,7.8,6.7,5.4,5.1,5.8,10.9,37533.0,0.124405286343612,0.246167400881057,0.38352422907489003,0.245903083700441
28019,Choctaw,Mississippi,20.9,8.9,8.5,8.2,6.4,5.8,5.1,5.0,5.7,6.4,41146.0,0.190871369294606,0.25484094052558803,0.35892116182572603,0.19536652835407997
28021,Claiborne,Mississippi,37.5,15.1,16.9,14.8,12.7,11.6,10.0,9.4,10.8,14.4,31221.0,0.239823348694316,0.28379416282642106,0.27976190476190504,0.196620583717358
28023,Clarke,Mississippi,23.2,10.5,9.9,9.1,8.0,6.9,6.2,5.7,6.3,8.4,42826.0,0.124736117485085,0.30986691142726003,0.394217530977513,0.171179440110142
28025,Clay,Mississippi,29.7,13.8,15.4,13.4,9.7,8.3,7.0,6.3,7.6,11.6,33653.0,0.20407401880316395,0.26973586031935504,0.343381584838084,0.182808536039397
28027,Coahoma,Mississippi,38.2,12.3,12.8,11.9,10.2,8.9,7.6,7.2,7.8,12.5,30242.0,0.164508758568165,0.378522467631379,0.252232915599252,0.204735858201205
28029,Copiah,Mississippi,22.1,10.8,10.5,9.0,7.3,6.7,5.8,5.7,6.8,8.3,42299.0,0.14543148549384302,0.312793954446969,0.34423717169582,0.197537388363367
28031,Covington,Mississippi,21.3,8.3,7.8,6.7,5.9,5.5,4.9,4.6,4.9,6.9,42076.0,0.147446193382589,0.318743976871185,0.366045615162223,0.167764214584003
28033,DeSoto,Mississippi,9.4,6.3,5.9,5.4,4.9,4.3,3.9,3.9,4.5,6.0,67450.0,0.250357310967521,0.361641490863965,0.292344559031195,0.0956566391373187
28035,Forrest,Mississippi,23.3,8.8,8.4,7.5,6.4,5.8,5.0,4.6,5.3,8.0,40224.0,0.277668617316646,0.323758062449276,0.272307889453676,0.126265430780402
28037,Franklin,Mississippi,19.6,9.6,9.2,8.5,7.8,7.3,7.0,6.1,7.0,8.3,41420.0,0.12014334213504302,0.371935118823086,0.353828743870238,0.154092795171633
28039,George,Mississippi,16.6,10.0,9.4,8.3,7.6,7.6,7.3,6.7,7.5,9.1,51858.0,0.137756085029863,0.339605677220474,0.36580823325412604,0.156830004495537
28041,Greene,Mississippi,21.8,11.0,10.1,9.0,7.6,7.4,7.7,6.5,8.0,9.7,48641.0,0.097182523478971,0.32829726418946503,0.336565945283789,0.23795426704777498
28043,Grenada,Mississippi,20.3,9.0,8.8,7.3,6.0,5.2,4.7,4.4,5.1,7.2,40561.0,0.21327545161742104,0.3164822853942019,0.278462400224058,0.19177986276431896
28045,Hancock,Mississippi,16.7,8.3,7.8,7.3,6.6,6.2,5.7,5.2,5.8,8.5,50401.0,0.22004991680532396,0.373306394105063,0.281316852864274,0.125326836225339
28047,Harrison,Mississippi,17.5,8.0,7.5,6.8,6.0,5.6,5.0,4.8,5.3,9.5,49619.0,0.230612938499276,0.36086236959541296,0.291345272926087,0.117179418979224
28049,Hinds,Mississippi,20.1,8.6,8.4,7.3,6.1,5.6,5.0,4.8,5.4,9.3,44773.0,0.290218991414911,0.33546983494222304,0.249794817680854,0.12451635596201201
28051,Holmes,Mississippi,33.8,16.2,16.7,15.1,12.2,11.2,9.6,9.2,10.4,16.2,26348.0,0.10176749271136999,0.256559766763848,0.40952988338192403,0.23214285714285698
28053,Humphreys,Mississippi,37.1,18.7,17.1,16.0,12.8,11.6,9.7,9.1,10.4,14.7,28464.0,0.127891911900796,0.23301869331852698,0.337590227651305,0.30149916712937297
28055,Issaquena,Mississippi,35.8,17.3,20.4,17.6,17.2,14.3,12.2,9.2,12.4,9.2,30944.0,0.0315315315315315,0.25495495495495496,0.318918918918919,0.394594594594595
28057,Itawamba,Mississippi,12.8,8.2,8.0,7.2,5.8,5.2,4.3,4.2,4.8,7.0,49214.0,0.131585645202342,0.348052939679308,0.311147874777297,0.20921354034105397
28059,Jackson,Mississippi,15.1,9.3,8.8,8.1,7.1,6.7,6.1,5.8,6.2,9.5,53414.0,0.21089759433185,0.36379551820728295,0.31248970176305796,0.112817185697809
28061,Jasper,Mississippi,20.5,10.0,9.9,8.6,7.9,7.8,6.7,6.1,7.0,8.9,40923.0,0.15077058564509,0.306472919418758,0.384500220167327,0.158256274768824
28063,Jefferson,Mississippi,28.9,17.1,19.2,16.3,15.1,15.2,14.9,13.5,16.0,18.4,30871.0,0.159053497942387,0.24176954732510297,0.37880658436214,0.22037037037037
28065,Jefferson Davis,Mississippi,24.3,12.7,12.6,10.3,8.8,8.4,7.0,6.9,7.1,9.6,32077.0,0.14140271493212697,0.316993464052288,0.36576168929110103,0.17584213172448498
28067,Jones,Mississippi,23.8,7.4,7.0,6.2,6.1,6.3,5.3,5.0,5.4,7.1,41733.0,0.207759253900772,0.33445366928572995,0.298662274356178,0.15912480245732
28069,Kemper,Mississippi,28.0,12.9,12.8,12.9,10.5,8.9,8.0,7.6,8.0,9.6,33472.0,0.146814814814815,0.29125925925925894,0.38340740740740703,0.178518518518519
28071,Lafayette,Mississippi,17.5,7.6,7.1,6.5,5.5,5.0,4.3,4.0,4.5,6.1,54034.0,0.4559620164425471,0.26072270728443103,0.18749601682493203,0.0958192594480913
28073,Lamar,Mississippi,16.0,6.3,5.9,5.2,4.9,4.6,3.9,3.8,4.3,6.0,62606.0,0.341022018706157,0.311330865159782,0.242132696804365,0.105514419329696
28075,Lauderdale,Mississippi,21.5,8.9,8.3,7.6,6.6,6.0,5.5,5.1,5.6,7.5,41604.0,0.197254405608023,0.373303475805666,0.27461785609969797,0.154824262486613
28077,Lawrence,Mississippi,19.7,10.1,9.2,8.4,7.3,7.3,6.7,6.1,7.0,8.7,43668.0,0.175789473684211,0.305614035087719,0.335789473684211,0.18280701754386
