FIPS,Name,2012,2013,2014,2015,2016,2017,2018,2019,2020,Median Household Income (2019),% of State Median HH Income,state
50001,"Addison County, VT",4.4,4.1,3.8,3.4,2.9,2.8,2.5,2.3,5.0,73574.0,1.16243502441028,Vermont
50003,"Bennington County, VT",5.7,5.2,4.7,4.2,3.6,3.7,3.1,2.9,6.6,56948.0,0.89975194729275,Vermont
50005,"Caledonia County, VT",6.1,5.3,4.9,4.6,4.0,3.7,3.2,2.9,5.8,50942.0,0.804859937117849,Vermont
50007,"Chittenden County, VT",3.7,3.4,3.1,2.7,2.4,2.3,2.0,1.7,4.8,76483.0,1.20839587316133,Vermont
50009,"Essex County, VT",7.8,6.7,6.0,5.7,4.8,4.7,3.6,3.1,6.5,45796.0,0.723555527467492,Vermont
50011,"Franklin County, VT",4.4,4.2,4.0,3.5,3.0,3.1,2.5,2.3,5.3,65056.0,1.02785458107532,Vermont
50013,"Grand Isle County, VT",5.3,4.5,4.5,3.9,3.6,3.5,3.2,2.8,5.9,68364.0,1.08011944448833,Vermont
50015,"Lamoille County, VT",6.2,5.7,5.2,4.6,4.1,4.0,3.5,3.0,7.8,60555.0,0.956740871818369,Vermont
50017,"Orange County, VT",4.6,4.1,3.9,3.4,3.0,3.1,2.6,2.3,4.8,59758.0,0.944148642029924,Vermont
50019,"Orleans County, VT",7.5,6.8,6.3,5.5,5.1,5.1,4.4,4.1,7.9,48826.0,0.771428120013272,Vermont
50021,"Rutland County, VT",6.1,5.3,4.8,4.2,3.6,3.5,3.1,2.7,6.9,51903.0,0.820043290727253,Vermont
50023,"Washington County, VT",4.6,4.3,3.9,3.4,3.1,3.0,2.6,2.2,4.8,65879.0,1.0408575987866,Vermont
50025,"Windham County, VT",5.0,4.7,4.1,3.5,3.2,3.1,2.8,2.5,6.3,52068.0,0.822650214083706,Vermont
50027,"Windsor County, VT",4.5,4.2,3.7,3.2,2.8,2.6,2.3,2.0,5.3,61843.0,0.977090673534198,Vermont
28001,"Adams County, MS",9.7,9.3,8.4,8.1,8.4,7.5,6.5,7.2,11.0,34583.0,0.75298292980317,Mississippi
28003,"Alcorn County, MS",8.5,7.7,6.7,5.7,5.3,4.5,4.3,4.8,6.2,43496.0,0.947047552691169,Mississippi
28005,"Amite County, MS",9.9,9.1,8.1,7.7,7.5,6.9,6.4,7.1,8.4,41575.0,0.90522121581606,Mississippi
28007,"Attala County, MS",9.6,9.3,8.8,7.7,6.8,6.2,5.8,6.4,8.3,36905.0,0.803540323985368,Mississippi
28009,"Benton County, MS",10.4,10.4,9.5,8.1,6.9,5.7,5.8,6.3,8.3,37875.0,0.824660337920223,Mississippi
28011,"Bolivar County, MS",10.4,10.6,9.7,8.0,7.4,6.6,6.3,7.2,8.7,30309.0,0.659924229228357,Mississippi
28013,"Calhoun County, MS",8.2,8.4,7.5,6.3,5.5,4.8,4.8,5.7,8.1,38648.0,0.84149102943738,Mississippi
28015,"Carroll County, MS",10.8,10.5,9.6,8.3,7.4,6.0,5.8,6.3,7.7,44885.0,0.977290541717471,Mississippi
28017,"Chickasaw County, MS",10.0,10.6,9.8,7.8,6.7,5.4,5.1,5.8,10.9,37533.0,0.817213900017419,Mississippi
28019,"Choctaw County, MS",8.9,8.5,8.2,6.4,5.8,5.1,5.0,5.7,6.4,41146.0,0.895880508622191,Mississippi
28021,"Claiborne County, MS",15.1,16.9,14.8,12.7,11.6,10.0,9.4,10.8,14.4,31221.0,0.679781396969169,Mississippi
28023,"Clarke County, MS",10.5,9.9,9.1,8.0,6.9,6.2,5.7,6.3,8.4,42826.0,0.93245950182895,Mississippi
28025,"Clay County, MS",13.8,15.4,13.4,9.7,8.3,7.0,6.3,7.6,11.6,33653.0,0.732733844278,Mississippi
28027,"Coahoma County, MS",12.3,12.8,11.9,10.2,8.9,7.6,7.2,7.8,12.5,30242.0,0.658465424142135,Mississippi
28029,"Copiah County, MS",10.8,10.5,9.0,7.3,6.7,5.8,5.7,6.8,8.3,42299.0,0.920985020031353,Mississippi
28031,"Covington County, MS",8.3,7.8,6.7,5.9,5.5,4.9,4.6,4.9,6.9,42076.0,0.916129594147361,Mississippi
28033,"DeSoto County, MS",6.3,5.9,5.4,4.9,4.3,3.9,3.9,4.5,6.0,67450.0,1.46860303083087,Mississippi
28035,"Forrest County, MS",8.8,8.4,7.5,6.4,5.8,5.0,4.6,5.3,8.0,40224.0,0.875805608778958,Mississippi
28037,"Franklin County, MS",9.6,9.2,8.5,7.8,7.3,7.0,6.1,7.0,8.3,41420.0,0.901846368228532,Mississippi
28039,"George County, MS",10.0,9.4,8.3,7.6,7.6,7.3,6.7,7.5,9.1,51858.0,1.12911513673576,Mississippi
28041,"Greene County, MS",11.0,10.1,9.0,7.6,7.4,7.7,6.5,8.0,9.7,48641.0,1.05907071938687,Mississippi
28043,"Grenada County, MS",9.0,8.8,7.3,6.0,5.2,4.7,4.4,5.1,7.2,40561.0,0.883143180630552,Mississippi
28045,"Hancock County, MS",8.3,7.8,7.3,6.6,6.2,5.7,5.2,5.8,8.5,50401.0,1.09739156941299,Mississippi
28047,"Harrison County, MS",8.0,7.5,6.8,6.0,5.6,5.0,4.8,5.3,9.5,49619.0,1.08036491900366,Mississippi
28049,"Hinds County, MS",8.6,8.4,7.3,6.1,5.6,5.0,4.8,5.4,9.3,44773.0,0.974851942170354,Mississippi
28051,"Holmes County, MS",16.2,16.7,15.1,12.2,11.2,9.6,9.2,10.4,16.2,26348.0,0.573680543459328,Mississippi
28053,"Humphreys County, MS",18.7,17.1,16.0,12.8,11.6,9.7,9.1,10.4,14.7,28464.0,0.61975265633165,Mississippi
28055,"Issaquena County, MS",17.3,20.4,17.6,17.2,14.3,12.2,9.2,12.4,9.2,30944.0,0.673750217732102,Mississippi
28057,"Itawamba County, MS",8.2,8.0,7.2,5.8,5.2,4.3,4.2,4.8,7.0,49214.0,1.0715467688556,Mississippi
28059,"Jackson County, MS",9.3,8.8,8.1,7.1,6.7,6.1,5.8,6.2,9.5,53414.0,1.1629942518725,Mississippi
28061,"Jasper County, MS",10.0,9.9,8.6,7.9,7.8,6.7,6.1,7.0,8.9,40923.0,0.891025082738199,Mississippi
28063,"Jefferson County, MS",17.1,19.2,16.3,15.1,15.2,14.9,13.5,16.0,18.4,30871.0,0.672160773384428,Mississippi
28065,"Jefferson Davis County, MS",12.7,12.6,10.3,8.8,8.4,7.0,6.9,7.1,9.6,32077.0,0.698419264936422,Mississippi
28067,"Jones County, MS",7.4,7.0,6.2,6.1,6.3,5.3,5.0,5.4,7.1,41733.0,0.908661383034315,Mississippi
28069,"Kemper County, MS",12.9,12.8,12.9,10.5,8.9,8.0,7.6,8.0,9.6,33472.0,0.728792893224177,Mississippi
28071,"Lafayette County, MS",7.6,7.1,6.5,5.5,5.0,4.3,4.0,4.5,6.1,54034.0,1.17649364222261,Mississippi
28073,"Lamar County, MS",6.3,5.9,5.2,4.9,4.6,3.9,3.8,4.3,6.0,62606.0,1.36313360041805,Mississippi
28075,"Lauderdale County, MS",8.9,8.3,7.6,6.6,6.0,5.5,5.1,5.6,7.5,41604.0,0.905852638913081,Mississippi
28077,"Lawrence County, MS",10.1,9.2,8.4,7.3,7.3,6.7,6.1,7.0,8.7,43668.0,0.950792544852813,Mississippi
28079,"Leake County, MS",9.0,8.5,7.2,6.2,6.2,5.9,5.2,5.7,7.9,41007.0,0.892854032398537,Mississippi
28081,"Lee County, MS",8.2,7.9,7.3,5.6,5.0,4.1,4.0,4.5,8.1,50803.0,1.10614439993033,Mississippi
28083,"Leflore County, MS",13.8,14.2,12.7,10.9,9.3,7.6,7.1,7.7,10.7,29687.0,0.64638129245776,Mississippi
28085,"Lincoln County, MS",8.4,7.6,6.7,6.1,5.8,5.3,4.9,5.7,7.3,45062.0,0.981144399930326,Mississippi
28087,"Lowndes County, MS",9.0,9.2,8.8,7.1,6.3,5.5,5.0,5.4,8.3,49251.0,1.07235237763456,Mississippi
