Unnamed: 0,Census,Estimates Base,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
United States,308745538.0,308758105.0,309321666.0,311556874.0,313830990.0,315993715.0,318301008.0,320635163.0,322941311.0,324985539.0,326687501.0,328239523.0
".Autauga County, Alabama",54571.0,54597.0,54773.0,55227.0,54954.0,54727.0,54893.0,54864.0,55243.0,55390.0,55533.0,55869.0
".Baldwin County, Alabama",182265.0,182265.0,183112.0,186558.0,190145.0,194885.0,199183.0,202939.0,207601.0,212521.0,217855.0,223234.0
".Barbour County, Alabama",27457.0,27455.0,27327.0,27341.0,27169.0,26937.0,26755.0,26283.0,25806.0,25157.0,24872.0,24686.0
".Bibb County, Alabama",22915.0,22915.0,22870.0,22745.0,22667.0,22521.0,22553.0,22566.0,22586.0,22550.0,22367.0,22394.0
".Blount County, Alabama",57322.0,57322.0,57376.0,57560.0,57580.0,57619.0,57526.0,57526.0,57494.0,57787.0,57771.0,57826.0
".Bullock County, Alabama",10914.0,10911.0,10876.0,10675.0,10606.0,10549.0,10663.0,10400.0,10389.0,10176.0,10174.0,10101.0
".Butler County, Alabama",20947.0,20940.0,20932.0,20866.0,20670.0,20356.0,20327.0,20162.0,20012.0,19888.0,19631.0,19448.0
".Calhoun County, Alabama",118572.0,118526.0,118408.0,117744.0,117190.0,116471.0,115917.0,115469.0,114973.0,114710.0,114331.0,113605.0
".Chambers County, Alabama",34215.0,34169.0,34122.0,34033.0,34104.0,34139.0,33977.0,33996.0,33745.0,33707.0,33600.0,33254.0
".Cherokee County, Alabama",25989.0,25979.0,25963.0,25989.0,25958.0,26017.0,25895.0,25732.0,25768.0,25805.0,26014.0,26196.0
".Chilton County, Alabama",43643.0,43632.0,43653.0,43689.0,43582.0,43628.0,43760.0,43700.0,43866.0,44120.0,44163.0,44428.0
".Choctaw County, Alabama",13859.0,13858.0,13849.0,13609.0,13563.0,13397.0,13317.0,13231.0,13045.0,12925.0,12833.0,12589.0
".Clarke County, Alabama",25833.0,25833.0,25766.0,25587.0,25155.0,25123.0,24864.0,24698.0,24340.0,24063.0,23918.0,23622.0
".Clay County, Alabama",13932.0,13930.0,13898.0,13687.0,13434.0,13404.0,13441.0,13415.0,13393.0,13350.0,13294.0,13235.0
".Cleburne County, Alabama",14972.0,14972.0,15004.0,14928.0,14889.0,14976.0,15026.0,14914.0,14848.0,14899.0,15010.0,14910.0
".Coffee County, Alabama",49948.0,49955.0,50208.0,50444.0,51141.0,50681.0,50657.0,50963.0,51202.0,51853.0,51950.0,52342.0
".Colbert County, Alabama",54428.0,54428.0,54524.0,54539.0,54570.0,54529.0,54462.0,54417.0,54497.0,54695.0,55004.0,55241.0
