Region,covid hoax: (1/1/21 - 6/23/21),RNA vaccine: (1/1/21 - 6/23/21),covid-19 hoax: (1/1/21 - 6/23/21),covid-19 vaccine risks: (1/1/21 - 6/23/21),covid vaccine risks: (1/1/21 - 6/23/21),i do not consent: (1/1/21 - 6/23/21),covid vaccine side effects: (1/1/21 - 6/23/21),is the vaccine safe: (1/1/21 - 6/23/21)
Delaware,100.0,62,1.0,1.0,1.0,1.0,83,55
Alaska,94.0,84,1.0,1.0,1.0,1.0,74,45
North Dakota,74.0,35,1.0,1.0,1.0,1.0,73,35
New Hampshire,72.0,69,1.0,1.0,73.0,1.0,82,51
Washington,62.0,70,1.0,1.0,50.0,1.0,81,58
Montana,56.0,54,1.0,1.0,1.0,1.0,62,80
Minnesota,52.0,53,1.0,1.0,53.0,1.0,77,55
Ohio,48.0,54,1.0,1.0,62.0,1.0,67,57
Oregon,46.0,70,1.0,1.0,83.0,1.0,73,72
Massachusetts,44.0,63,36.0,1.0,95.0,1.0,79,60
Arizona,41.0,46,79.0,1.0,48.0,1.0,66,63
Maine,41.0,84,1.0,1.0,1.0,1.0,92,84
Colorado,39.0,60,1.0,1.0,95.0,1.0,74,52
Hawaii,38.0,100,1.0,1.0,1.0,1.0,74,42
Texas,38.0,38,9.0,1.0,40.0,53.0,55,51
Florida,38.0,42,1.0,1.0,53.0,69.0,54,50
Louisiana,38.0,32,1.0,1.0,26.0,1.0,41,38
Connecticut,36.0,67,1.0,1.0,50.0,1.0,78,97
Iowa,35.0,38,100.0,1.0,71.0,1.0,71,72
Georgia,35.0,38,22.0,1.0,35.0,1.0,51,51
North Carolina,35.0,43,1.0,1.0,40.0,1.0,66,53
Idaho,33.0,81,1.0,1.0,1.0,1.0,54,58
Michigan,31.0,58,1.0,1.0,63.0,1.0,79,62
South Carolina,31.0,36,1.0,1.0,31.0,1.0,57,58
Utah,31.0,54,1.0,1.0,47.0,1.0,69,58
California,30.0,60,27.0,1.0,56.0,100.0,70,58
Pennsylvania,29.0,62,1.0,1.0,69.0,1.0,81,69
Tennessee,29.0,43,1.0,1.0,36.0,1.0,59,52
Nebraska,26.0,35,1.0,1.0,26.0,1.0,61,37
New Jersey,24.0,75,1.0,1.0,74.0,1.0,81,66
Indiana,24.0,38,1.0,1.0,65.0,1.0,65,61
Alabama,22.0,38,1.0,1.0,1.0,1.0,63,51
Mississippi,22.0,11,1.0,1.0,1.0,1.0,56,31
New York,21.0,51,1.0,1.0,54.0,1.0,60,63
Kansas,20.0,47,1.0,1.0,100.0,1.0,63,40
Missouri,17.0,36,1.0,1.0,9.0,1.0,66,37
Oklahoma,15.0,35,89.0,1.0,78.0,1.0,56,68
Nevada,15.0,41,1.0,1.0,1.0,1.0,53,68
Illinois,14.0,54,1.0,1.0,65.0,1.0,70,61
Kentucky,13.0,39,1.0,1.0,13.0,1.0,73,59
Virginia,10.0,47,1.0,1.0,72.0,1.0,74,62
Wisconsin,9.0,46,1.0,1.0,72.0,1.0,77,52
Maryland,7.0,62,1.0,1.0,84.0,1.0,70,58
Arkansas,1.0,40,1.0,1.0,21.0,1.0,56,54
District of Columbia,1.0,41,1.0,1.0,1.0,1.0,55,68
New Mexico,1.0,56,1.0,1.0,1.0,1.0,76,36
Rhode Island,1.0,84,1.0,1.0,1.0,1.0,85,100
South Dakota,1.0,77,1.0,1.0,1.0,1.0,76,33
Vermont,1.0,65,1.0,1.0,1.0,1.0,100,41
West Virginia,1.0,55,1.0,1.0,1.0,1.0,97,77
Wyoming,1.0,60,1.0,1.0,1.0,1.0,65,86
