,state,state_po,county_name,county_fips,totalvotes,candidatevotes_biden,candidatevotes_trump,per_biden,per_trump,per_diff,abs_per_diff,winner
0,ALABAMA,AL,AUTAUGA,1001.0,27770.0,7503.0,19838.0,27.018365142239826,71.4368023046453,44.41843716240547,44.41843716240547,0
1,ALABAMA,AL,BALDWIN,1003.0,109679.0,24578.0,83544.0,22.409029987509005,76.17137282433283,53.762342836823834,53.762342836823834,0
2,ALABAMA,AL,BARBOUR,1005.0,10518.0,4816.0,5622.0,45.78817265639856,53.45122646891044,7.663053812511883,7.663053812511883,0
3,ALABAMA,AL,BIBB,1007.0,9595.0,1986.0,7525.0,20.698280354351226,78.42626367899948,57.72798332464825,57.72798332464825,0
4,ALABAMA,AL,BLOUNT,1009.0,27588.0,2640.0,24711.0,9.569377990430622,89.5715528490648,80.00217485863418,80.00217485863418,0
5,ALABAMA,AL,BULLOCK,1011.0,4613.0,3446.0,1146.0,74.70192933015392,24.842835464990245,-49.85909386516367,49.85909386516367,1
6,ALABAMA,AL,BUTLER,1013.0,9488.0,3965.0,5458.0,41.78962900505902,57.52529510961214,15.735666104553118,15.735666104553118,0
7,ALABAMA,AL,CALHOUN,1015.0,50983.0,15216.0,35101.0,29.845242531824333,68.84843967597043,39.00319714414609,39.00319714414609,0
8,ALABAMA,AL,CHAMBERS,1017.0,15284.0,6365.0,8753.0,41.644857367181366,57.26903951845067,15.624182151269302,15.624182151269302,0
9,ALABAMA,AL,CHEROKEE,1019.0,12301.0,1624.0,10583.0,13.202178684659785,86.03365580034144,72.83147711568165,72.83147711568165,0
10,ALABAMA,AL,CHILTON,1021.0,19310.0,3073.0,16085.0,15.91403417918177,83.29880890730192,67.38477472812015,67.38477472812015,0
11,ALABAMA,AL,CHOCTAW,1023.0,7464.0,3127.0,4296.0,41.89442658092176,57.556270096463024,15.661843515541264,15.661843515541264,0
12,ALABAMA,AL,CLARKE,1025.0,13135.0,5755.0,7324.0,43.81423677198325,55.75942139322421,11.945184621240955,11.945184621240955,0
13,ALABAMA,AL,CLAY,1027.0,6930.0,1267.0,5601.0,18.282828282828284,80.82251082251082,62.53968253968254,62.53968253968254,0
14,ALABAMA,AL,CLEBURNE,1029.0,7227.0,675.0,6484.0,9.339975093399751,89.71910889719109,80.37913380379135,80.37913380379135,0
15,ALABAMA,AL,COFFEE,1031.0,22275.0,5076.0,16899.0,22.78787878787879,75.86531986531988,53.07744107744109,53.07744107744109,0
16,ALABAMA,AL,COLBERT,1033.0,27886.0,8343.0,19203.0,29.91823854263788,68.8625116545937,38.94427311195582,38.94427311195582,0
17,ALABAMA,AL,CONECUH,1035.0,6441.0,2966.0,3442.0,46.04875019406924,53.43890700201832,7.390156807949076,7.390156807949076,0
18,ALABAMA,AL,COOSA,1037.0,5479.0,1796.0,3631.0,32.779704325606865,66.27121737543348,33.491513049826615,33.491513049826615,0
19,ALABAMA,AL,COVINGTON,1039.0,17430.0,2721.0,14586.0,15.611015490533564,83.68330464716007,68.07228915662651,68.07228915662651,0
20,ALABAMA,AL,CRENSHAW,1041.0,6617.0,1700.0,4864.0,25.691400936980507,73.50763185733716,47.81623092035665,47.81623092035665,0
21,ALABAMA,AL,CULLMAN,1043.0,41851.0,4478.0,36880.0,10.699863802537573,88.12214761893384,77.42228381639626,77.42228381639626,0
22,ALABAMA,AL,DALE,1045.0,19738.0,5170.0,14303.0,26.193130003039823,72.4642820954504,46.271152092410574,46.271152092410574,0
23,ALABAMA,AL,DALLAS,1047.0,17864.0,12230.0,5524.0,68.46171070309002,30.922525750111955,-37.53918495297806,37.53918495297806,1
24,ALABAMA,AL,DEKALB,1049.0,29356.0,4281.0,24767.0,14.583049461779535,84.36776127537811,69.78471181359858,69.78471181359858,0
25,ALABAMA,AL,ELMORE,1051.0,41030.0,10367.0,30164.0,25.26687789422374,73.51693882524982,48.250060931026084,48.250060931026084,0
26,ALABAMA,AL,ESCAMBIA,1053.0,15910.0,4918.0,10869.0,30.91137649277184,68.31552482715273,37.40414833438089,37.40414833438089,0
27,ALABAMA,AL,ETOWAH,1055.0,47728.0,11567.0,35528.0,24.23524974857526,74.43848474689909,50.203234998323836,50.203234998323836,0
28,ALABAMA,AL,FAYETTE,1057.0,8766.0,1395.0,7300.0,15.91375770020534,83.27629477526808,67.36253707506275,67.36253707506275,0
29,ALABAMA,AL,FRANKLIN,1059.0,12578.0,2086.0,10376.0,16.584512641119414,82.49324216886627,65.90872952774686,65.90872952774686,0
30,ALABAMA,AL,GENEVA,1061.0,12545.0,1595.0,10848.0,12.714228776404942,86.47269828616979,73.75846950976485,73.75846950976485,0
31,ALABAMA,AL,GREENE,1063.0,4775.0,3884.0,875.0,81.34031413612566,18.32460732984293,-63.01570680628272,63.01570680628272,1
32,ALABAMA,AL,HALE,1065.0,7900.0,4663.0,3192.0,59.0253164556962,40.40506329113924,-18.620253164556956,18.620253164556956,1
33,ALABAMA,AL,HENRY,1067.0,9298.0,2606.0,6607.0,28.02753280275328,71.05829210582921,43.030759303075925,43.030759303075925,0
34,ALABAMA,AL,HOUSTON,1069.0,46173.0,12917.0,32618.0,27.975223615532883,70.64301648149352,42.667792865960635,42.667792865960635,0
35,ALABAMA,AL,JACKSON,1071.0,23636.0,3717.0,19670.0,15.726011169402607,83.22051108478593,67.49449991538332,67.49449991538332,0
36,ALABAMA,AL,JEFFERSON,1073.0,325848.0,181688.0,138843.0,55.758513171785616,42.6097444207115,-13.148768751074115,13.148768751074115,1
37,ALABAMA,AL,LAMAR,1075.0,7193.0,978.0,6174.0,13.596552203531212,85.8334491867093,72.23689698317808,72.23689698317808,0
38,ALABAMA,AL,LAUDERDALE,1077.0,44339.0,11915.0,31721.0,26.872505018155575,71.54198335551095,44.66947833735537,44.66947833735537,0
39,ALABAMA,AL,LAWRENCE,1079.0,16031.0,3562.0,12322.0,22.219449815981534,76.86357681991142,54.64412700392988,54.64412700392988,0
40,ALABAMA,AL,LEE,1081.0,71449.0,27860.0,42221.0,38.992848045459,59.092499545130096,20.099651499671097,20.099651499671097,0
41,ALABAMA,AL,LIMESTONE,1083.0,49235.0,13672.0,34640.0,27.768863613283234,70.35645374225652,42.58759012897329,42.58759012897329,0
42,ALABAMA,AL,LOWNDES,1085.0,6835.0,4972.0,1836.0,72.74323335771763,26.86174103877103,-45.8814923189466,45.8814923189466,1
43,ALABAMA,AL,MACON,1087.0,8723.0,7108.0,1541.0,81.48572738736674,17.665940616760288,-63.81978677060645,63.81978677060645,1
44,ALABAMA,AL,MADISON,1089.0,194767.0,87286.0,102780.0,44.81560017867503,52.77074658438031,7.955146405705285,7.955146405705285,0
45,ALABAMA,AL,MARENGO,1091.0,10900.0,5488.0,5343.0,50.348623853211,49.01834862385321,-1.3302752293577953,1.3302752293577953,1
46,ALABAMA,AL,MARION,1093.0,13807.0,1463.0,12205.0,10.596074454986601,88.39718983124502,77.80111537625841,77.80111537625841,0
47,ALABAMA,AL,MARSHALL,1095.0,39655.0,5943.0,33191.0,14.98676081200353,83.69940738872778,68.71264657672425,68.71264657672425,0
48,ALABAMA,AL,MOBILE,1097.0,183164.0,79474.0,101243.0,43.38953069380446,55.27450809110961,11.88497739730515,11.88497739730515,0
49,ALABAMA,AL,MONROE,1099.0,10668.0,4455.0,6147.0,41.76040494938133,57.62092238470191,15.860517435320581,15.860517435320581,0
50,ALABAMA,AL,MONTGOMERY,1101.0,99139.0,64529.0,33311.0,65.08941990538537,33.600298570693674,-31.489121334691696,31.489121334691696,1
51,ALABAMA,AL,MORGAN,1103.0,53722.0,13234.0,39664.0,24.634228062990953,73.83194966680318,49.19772160381223,49.19772160381223,0
52,ALABAMA,AL,PERRY,1105.0,5230.0,3860.0,1339.0,73.80497131931166,25.60229445506692,-48.20267686424474,48.20267686424474,1
53,ALABAMA,AL,PICKENS,1107.0,9668.0,4022.0,5594.0,41.60115846090194,57.860984691766646,16.259826230864704,16.259826230864704,0
54,ALABAMA,AL,PIKE,1109.0,13841.0,5636.0,8042.0,40.719601184885484,58.10273824145654,17.38313705657106,17.38313705657106,0
55,ALABAMA,AL,RANDOLPH,1111.0,10837.0,2203.0,8559.0,20.32850419857894,78.97942234935867,58.65091815077973,58.65091815077973,0
56,ALABAMA,AL,RUSSELL,1113.0,21329.0,11228.0,9864.0,52.64194289465047,46.246893900323506,-6.395048994326963,6.395048994326963,1
57,ALABAMA,AL,ST. CLAIR,1115.0,44441.0,7744.0,36166.0,17.425350464661012,81.37980693503746,63.954456470376456,63.954456470376456,0
58,ALABAMA,AL,SHELBY,1117.0,114950.0,33268.0,79700.0,28.941278816876903,69.33449325793823,40.39321444106133,40.39321444106133,0
59,ALABAMA,AL,SUMTER,1119.0,6291.0,4648.0,1598.0,73.88332538547131,25.40136703226832,-48.48195835320299,48.48195835320299,1
60,ALABAMA,AL,TALLADEGA,1121.0,35663.0,13138.0,22235.0,36.83930123657572,62.3475310545944,25.508229818018677,25.508229818018677,0
61,ALABAMA,AL,TALLAPOOSA,1123.0,20991.0,5859.0,14963.0,27.911962269544087,71.28293077985803,43.37096851031394,43.37096851031394,0
62,ALABAMA,AL,TUSCALOOSA,1125.0,90172.0,37765.0,51117.0,41.88107172958346,56.6883289712993,14.807257241715838,14.807257241715838,0
63,ALABAMA,AL,WALKER,1127.0,31170.0,4834.0,26002.0,15.508501764517163,83.41995508501765,67.91145332050048,67.91145332050048,0
64,ALABAMA,AL,WASHINGTON,1129.0,8876.0,2258.0,6564.0,25.4393871113114,73.95223073456512,48.512843623253715,48.512843623253715,0
