Category: All categories

Region,covid-19 hoax: (1/1/21 - 6/23/21)
Iowa,100
Oklahoma,89
Arizona,79
Massachusetts,36
California,27
Georgia,22
Texas,9
Alaska,
Alabama,
Arkansas,
Colorado,
Connecticut,
District of Columbia,
Delaware,
Florida,
Hawaii,
Idaho,
Illinois,
Indiana,
Kansas,
Kentucky,
Louisiana,
Maryland,
Maine,
Michigan,
Minnesota,
Missouri,
Mississippi,
Montana,
North Carolina,
North Dakota,
Nebraska,
New Hampshire,
New Jersey,
New Mexico,
Nevada,
New York,
Ohio,
Oregon,
Pennsylvania,
Rhode Island,
South Carolina,
South Dakota,
Tennessee,
Utah,
Virginia,
Vermont,
Washington,
Wisconsin,
West Virginia,
Wyoming,
