Category: All categories

Region,covid vaccine risks: (1/1/21 - 6/23/21)
Kansas,100
Massachusetts,95
Colorado,95
Maryland,84
Oregon,83
Oklahoma,78
New Jersey,74
New Hampshire,73
Virginia,72
Wisconsin,72
Iowa,71
Pennsylvania,69
Indiana,65
Illinois,65
Michigan,63
Ohio,62
California,56
New York,54
Minnesota,53
Florida,53
Washington,50
Connecticut,50
Arizona,48
Utah,47
Texas,40
North Carolina,40
Tennessee,36
Georgia,35
South Carolina,31
Nebraska,26
Louisiana,26
Arkansas,21
Kentucky,13
Missouri,9
Vermont,
South Dakota,
Montana,
Maine,
Hawaii,
Idaho,
District of Columbia,
New Mexico,
Delaware,
Rhode Island,
Nevada,
West Virginia,
Alaska,
Alabama,
Mississippi,
North Dakota,
Wyoming,
