Category: All categories

Region,covid vaccine side effects: (1/1/21 - 6/23/21)
Vermont,100
West Virginia,97
Maine,92
Rhode Island,85
Delaware,83
New Hampshire,82
New Jersey,81
Pennsylvania,81
Washington,81
Michigan,79
Massachusetts,79
Connecticut,78
Minnesota,77
Wisconsin,77
New Mexico,76
South Dakota,76
Hawaii,74
Alaska,74
Virginia,74
Colorado,74
North Dakota,73
Oregon,73
Kentucky,73
Iowa,71
Maryland,70
Illinois,70
California,70
Utah,69
Ohio,67
Arizona,66
Missouri,66
North Carolina,66
Wyoming,65
Indiana,65
Alabama,63
Kansas,63
Montana,62
Nebraska,61
New York,60
Tennessee,59
South Carolina,57
Mississippi,56
Arkansas,56
Oklahoma,56
Texas,55
District of Columbia,55
Idaho,54
Florida,54
Nevada,53
Georgia,51
Louisiana,41
