PolygonLayer1_label,Value0
,13.6
,19.8
,10.2
,15.6
,18.7
,10.3
,10.6
,14.7
,11.1
,15.9
,12.9
,14.0
,15.9
,24.0
,13.8
,15.2
,8.6
,10.6
,13.7
,16.8
,8.6
,20.0
,13.1
,15.0
,29.6
,13.7
,13.8
,10.5
,14.4
,14.7
,12.1
,25.5
,16.6
,8.5
,17.3
,15.3
,8.6
,16.5
,21.9
,11.5
,19.5
,13.1
,17.7
,6.1
,19.8
,13.6
,6.7
,13.5
,15.1
,12.7
,11.8
,18.9
,9.6
,13.8
,22.1
,19.7
,11.4
,14.0
,20.6
,17.0
,16.0
,6.5
,17.1
,19.4
,25.3
,16.4
,23.9
,16.7
,12.1
,20.7
,8.7
,18.8
,15.2
,21.6
,13.2
,10.9
,13.3
,17.3
,17.0
,6.6
,14.4
,15.5
,27.7
,13.2
,11.3
,24.2
,8.5
,7.9
,13.4
,16.2
,14.5
,11.6
,16.5
,15.9
,7.4
,17.9
,25.4
,14.3
,11.7
,19.2
,12.1
,15.0
,17.8
,8.6
,20.7
,11.2
,9.1
,17.5
,26.9
,13.1
,15.5
,9.2
,14.7
,20.9
,17.0
,28.0
,14.8
,11.4
,7.4
,15.6
,13.8
,19.5
,12.7
,16.9
,22.8
,21.0
,11.0
,20.4
,21.0
,9.8
,7.4
,14.2
,11.5
,12.5
,17.0
,11.0
,18.9
,23.3
,19.1
,18.4
,18.5
,12.4
,26.6
,11.0
,10.7
,14.4
,14.4
,19.2
,12.4
,16.5
,10.8
,7.1
,17.9
,16.0
,17.6
,18.0
,10.5
,17.8
,21.4
,12.1
,11.7
,17.5
,26.9
,12.2
,20.7
,9.9
,16.3
,13.2
,19.5
,12.9
,8.9
,11.9
,18.1
,17.6
,20.9
,13.4
,22.8
,17.5
,16.5
,11.4
,13.1
,12.5
,17.2
,14.3
,8.2
,11.8
,18.7
,16.7
,20.3
,19.2
,13.4
,9.0
,8.9
,17.7
,19.6
,22.1
,18.0
,7.4
,20.7
,4.8
,17.2
,15.4
,17.6
,22.5
,16.8
,14.4
,20.7
,15.0
,14.7
,12.7
,21.4
,11.1
,12.9
,9.4
,32.5
,17.0
,10.7
,15.1
,13.1
,20.6
,10.2
,14.0
,17.5
,21.6
,13.9
,16.3
,12.9
,10.8
,17.9
